22:02:36.733 [MainThread] INFO    thonny: Thonny version: 4.1.4
22:02:36.734 [MainThread] INFO    thonny: cwd: /home/abhiramk/.config/Thonny/leave_this_empty
22:02:36.734 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/abhiramk', "{'run.warn_module_shadowing': True}"]
22:02:36.734 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
22:02:36.734 [MainThread] INFO    thonny: sys.argv: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/abhiramk', "{'run.warn_module_shadowing': True}"]
22:02:36.734 [MainThread] INFO    thonny: sys.path: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
22:02:36.734 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
22:02:36.734 [MainThread] INFO    thonny: TIME/MODS 0.013 Before constructing backend (+25 modules)
22:02:36.734 [MainThread] INFO    thonny: NEW MODS ['_heapq', '_locale', '_posixsubprocess', '_queue', 'encodings.ascii', 'errno', 'faulthandler', 'fcntl', 'fnmatch', 'heapq', 'locale', 'math', 'ntpath', 'pathlib', 'queue', 'select', 'selectors', 'signal', 'subprocess', 'thonny.backend', 'thonny.plugins', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'urllib', 'urllib.parse']
22:02:36.734 [MainThread] INFO    thonny: TIME/MODS 0.000 Before MainBackend 
22:02:36.734 [MainThread] INFO    thonny: TIME/MODS 0.000 After MainBackend 
22:02:36.741 [MainThread] INFO    thonny.backend: Loading plugins
22:02:36.741 [MainThread] INFO    thonny: TIME/MODS 0.006 Before loading plugins (+6 modules)
22:02:36.741 [MainThread] INFO    thonny: NEW MODS ['__future__', '_sysconfigdata__aarch64-linux-gnu', 'pkgutil', 'platform', 'pydoc', 'sysconfig']
22:02:36.741 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages', '/home/abhiramk/.config/Thonny/plugins/lib/python3.11/site-packages']
22:02:36.742 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.birdseye_backend'
22:02:36.742 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.dock_user_windows_backend'
22:02:36.742 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.flask_backend'
22:02:36.743 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.matplotlib_backend'
22:02:36.743 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.pgzero_backend'
22:02:36.744 [MainThread] INFO    thonny: TIME/MODS 0.003 After loading plugins (+6 modules)
22:02:36.744 [MainThread] INFO    thonny: NEW MODS ['thonny.plugins.backend', 'thonny.plugins.backend.birdseye_backend', 'thonny.plugins.backend.dock_user_windows_backend', 'thonny.plugins.backend.flask_backend', 'thonny.plugins.backend.matplotlib_backend', 'thonny.plugins.backend.pgzero_backend']
22:02:36.746 [MainThread] INFO    thonny: TIME/MODS 0.002 Beginning of mainloop 
22:02:36.746 [MainThread] INFO    thonny: TIME/MODS 0.000 Before Run 
22:02:36.748 [MainThread] INFO    thonny: TIME/MODS 0.002 Starting _execute_file 
22:02:36.748 [MainThread] INFO    thonny: TIME/MODS 0.000 Done preprocessing 
22:02:36.748 [MainThread] INFO    thonny: TIME/MODS 0.000 Done creating executor 
22:02:36.748 [MainThread] INFO    thonny: TIME/MODS 0.000 Before preparing ast in executor 
22:02:36.749 [MainThread] INFO    thonny: TIME/MODS 0.001 After compiling ast in executor (+1 modules)
22:02:36.749 [MainThread] INFO    thonny: NEW MODS ['pgzero']
22:02:36.749 [MainThread] INFO    thonny: TIME/MODS 0.000 Sending message ProgramOutput 
22:02:36.749 [MainThread] INFO    thonny: TIME/MODS 0.000 Sending message InputRequest 
22:02:38.169 [MainThread] INFO    thonny: TIME/MODS 1.420 Sending message ProgramOutput 
22:02:38.169 [MainThread] INFO    thonny: TIME/MODS 0.000 Sending message ProgramOutput 
22:02:38.169 [MainThread] INFO    thonny: TIME/MODS 0.000 After Run 
22:02:38.169 [MainThread] INFO    thonny: TIME/MODS 0.000 Sending message ToplevelResponse 
22:02:38.169 [MainThread] INFO    thonny.backend: Loading Jedi
22:02:38.169 [MainThread] INFO    thonny: TIME/MODS 0.000 Before loading Jedi 
22:02:38.169 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages', '/home/abhiramk/.config/Thonny/plugins/lib/python3.11/site-packages']
22:02:38.257 [MainThread] INFO    thonny: TIME/MODS 0.087 After loading Jedi (+133 modules)
22:02:38.257 [MainThread] INFO    thonny: NEW MODS ['_blake2', '_bz2', '_compat_pickle', '_compression', '_ctypes', '_hashlib', '_json', '_lzma', '_pickle', '_struct', 'binascii', 'bz2', 'colorama', 'colorama.ansi', 'colorama.ansitowin32', 'colorama.initialise', 'colorama.win32', 'colorama.winterm', 'ctypes', 'ctypes._endian', 'difflib', 'filecmp', 'gc', 'hashlib', 'jedi', 'jedi._compatibility', 'jedi.api', 'jedi.api.classes', 'jedi.api.completion', 'jedi.api.completion_cache', 'jedi.api.environment', 'jedi.api.errors', 'jedi.api.exceptions', 'jedi.api.file_name', 'jedi.api.helpers', 'jedi.api.interpreter', 'jedi.api.keywords', 'jedi.api.project', 'jedi.api.refactoring', 'jedi.api.refactoring.extract', 'jedi.api.strings', 'jedi.cache', 'jedi.common', 'jedi.debug', 'jedi.file_io', 'jedi.inference', 'jedi.inference.analysis', 'jedi.inference.arguments', 'jedi.inference.base_value', 'jedi.inference.cache', 'jedi.inference.compiled', 'jedi.inference.compiled.access', 'jedi.inference.compiled.getattr_static', 'jedi.inference.compiled.mixed', 'jedi.inference.compiled.subprocess', 'jedi.inference.compiled.subprocess.functions', 'jedi.inference.compiled.value', 'jedi.inference.context', 'jedi.inference.docstring_utils', 'jedi.inference.docstrings', 'jedi.inference.filters', 'jedi.inference.flow_analysis', 'jedi.inference.gradual', 'jedi.inference.gradual.annotation', 'jedi.inference.gradual.base', 'jedi.inference.gradual.conversion', 'jedi.inference.gradual.generics', 'jedi.inference.gradual.stub_value', 'jedi.inference.gradual.type_var', 'jedi.inference.gradual.typeshed', 'jedi.inference.gradual.typing', 'jedi.inference.gradual.utils', 'jedi.inference.helpers', 'jedi.inference.imports', 'jedi.inference.lazy_value', 'jedi.inference.names', 'jedi.inference.param', 'jedi.inference.parser_cache', 'jedi.inference.recursion', 'jedi.inference.references', 'jedi.inference.signature', 'jedi.inference.syntax_tree', 'jedi.inference.sys_path', 'jedi.inference.utils', 'jedi.inference.value', 'jedi.inference.value.decorator', 'jedi.inference.value.dynamic_arrays', 'jedi.inference.value.function', 'jedi.inference.value.instance', 'jedi.inference.value.iterable', 'jedi.inference.value.klass', 'jedi.inference.value.module', 'jedi.parser_utils', 'jedi.plugins', 'jedi.plugins.django', 'jedi.plugins.flask', 'jedi.plugins.pytest', 'jedi.plugins.registry', 'jedi.plugins.stdlib', 'jedi.settings', 'json', 'json.decoder', 'json.encoder', 'json.scanner', 'lzma', 'parso', 'parso._compatibility', 'parso.cache', 'parso.file_io', 'parso.grammar', 'parso.normalizer', 'parso.parser', 'parso.pgen2', 'parso.pgen2.generator', 'parso.pgen2.grammar_parser', 'parso.python', 'parso.python.diff', 'parso.python.errors', 'parso.python.parser', 'parso.python.pep8', 'parso.python.prefix', 'parso.python.token', 'parso.python.tokenize', 'parso.python.tree', 'parso.tree', 'parso.utils', 'pickle', 'pydoc_data', 'pydoc_data.topics', 'shutil', 'struct', 'zipfile', 'zlib']
22:04:30.627 [MainThread] INFO    thonny: TIME/MODS 112.370 Sending message highlight_occurrences_response (+1 modules)
22:04:30.627 [MainThread] INFO    thonny: NEW MODS ['thonny.jedi_utils']
22:04:30.896 [MainThread] INFO    thonny: TIME/MODS 0.269 Sending message highlight_occurrences_response 
22:04:32.003 [MainThread] INFO    thonny: TIME/MODS 1.107 Sending message highlight_occurrences_response 
22:04:32.656 [MainThread] INFO    thonny: TIME/MODS 0.653 Sending message highlight_occurrences_response 
22:04:38.974 [MainThread] INFO    thonny: TIME/MODS 6.318 Sending message highlight_occurrences_response (+1 modules)
22:04:38.974 [MainThread] INFO    thonny: NEW MODS ['jedi.inference.finder']
22:04:39.681 [MainThread] INFO    thonny: TIME/MODS 0.707 Sending message highlight_occurrences_response 
